# x	jacobi_kp1
0	30
0.01	29.3784
0.02	28.7578
0.03	28.1372
0.04	27.5198
0.05	26.9025
0.06	26.2904
0.07	25.6784
0.08	25.0737
0.09	24.4691
0.1	23.8738
0.11	23.2786
0.12	22.6948
0.13	22.111
0.14	21.5404
0.15	20.9699
0.16	20.4145
0.17	19.859
0.18	19.3205
0.19	18.7819
0.2	18.2617
0.21	17.7416
0.22	17.2415
0.23	16.7413
0.24	16.2625
0.25	15.7837
0.26	15.3276
0.27	14.8714
0.28	14.439
0.29	14.0067
0.3	13.5991
0.31	13.1916
0.32	12.8098
0.33	12.4279
0.34	12.0726
0.35	11.7172
0.36	11.3889
0.37	11.0607
0.38	10.7601
0.39	10.4594
0.4	10.1868
0.41	9.91413
0.42	9.66974
0.43	9.42536
0.44	9.20936
0.45	8.99337
0.46	8.80579
0.47	8.61821
0.48	8.45896
0.49	8.29971
0.5	8.16859
0.51	8.03748
0.52	7.93419
0.53	7.83091
0.54	7.75507
0.55	7.67922
0.56	7.63033
0.57	7.58144
0.58	7.55893
0.59	7.53641
0.6	7.53961
0.61	7.54281
0.62	7.57098
0.63	7.59916
0.64	7.65149
0.65	7.70382
0.66	7.77943
0.67	7.85503
0.68	7.95296
0.69	8.05088
0.7	8.17011
0.71	8.28933
0.72	8.42878
0.73	8.56823
0.74	8.72676
0.75	8.88529
0.76	9.06173
0.77	9.23816
0.78	9.43125
0.79	9.62434
0.8	9.8328
0.81	10.0413
0.82	10.2638
0.83	10.4863
0.84	10.7215
0.85	10.9566
0.86	11.2031
0.87	11.4496
0.88	11.7059
0.89	11.9621
0.9	12.2268
0.91	12.4915
0.92	12.763
0.93	13.0346
0.94	13.3115
0.95	13.5884
0.96	13.8692
0.97	14.15
0.98	14.4331
0.99	14.7161
1	15
