# x	gauss_k
0	30
0.01	28.3095
0.02	26.6358
0.03	24.9867
0.04	23.3696
0.05	21.7914
0.06	20.2583
0.07	18.7758
0.08	17.3487
0.09	15.9811
0.1	14.6762
0.11	13.4366
0.12	12.264
0.13	11.1594
0.14	10.1233
0.15	9.15528
0.16	8.25463
0.17	7.41998
0.18	6.64954
0.19	5.94112
0.2	5.29224
0.21	4.70013
0.22	4.16185
0.23	3.67431
0.24	3.23433
0.25	2.83871
0.26	2.48423
0.27	2.16773
0.28	1.88612
0.29	1.63641
0.3	1.41574
0.31	1.22138
0.32	1.05075
0.33	0.901458
0.34	0.771246
0.35	0.65804
0.36	0.559927
0.37	0.475161
0.38	0.402152
0.39	0.339459
0.4	0.285788
0.41	0.239977
0.42	0.200992
0.43	0.167915
0.44	0.139933
0.45	0.116335
0.46	0.0964983
0.47	0.0798823
0.48	0.0660216
0.49	0.054519
0.5	0.0450406
0.51	0.037311
0.52	0.0311109
0.53	0.0262744
0.54	0.0226895
0.55	0.0202983
0.56	0.0191003
0.57	0.0191564
0.58	0.0205945
0.59	0.0236166
0.6	0.0285082
0.61	0.035647
0.62	0.0455146
0.63	0.0587071
0.64	0.0759469
0.65	0.098093
0.66	0.126151
0.67	0.161283
0.68	0.204807
0.69	0.258209
0.7	0.323131
0.71	0.401372
0.72	0.494873
0.73	0.605702
0.74	0.736028
0.75	0.888097
0.76	1.06419
0.77	1.2666
0.78	1.49757
0.79	1.75924
0.8	2.05362
0.81	2.38253
0.82	2.74755
0.83	3.14995
0.84	3.59068
0.85	4.0703
0.86	4.58895
0.87	5.14636
0.88	5.74177
0.89	6.37398
0.9	7.04131
0.91	7.74165
0.92	8.47243
0.93	9.23071
0.94	10.0132
0.95	10.8163
0.96	11.6361
0.97	12.4686
0.98	13.3095
0.99	14.1548
1	15
