# x	jacobi_kp1
0	30
0.01	29.2483
0.02	28.4983
0.03	27.7482
0.04	27.0029
0.05	26.2576
0.06	25.5203
0.07	24.783
0.08	24.0566
0.09	23.3303
0.1	22.6178
0.11	21.9054
0.12	21.2098
0.13	20.5141
0.14	19.8379
0.15	19.1617
0.16	18.5073
0.17	17.8529
0.18	17.2227
0.19	16.5925
0.2	15.9885
0.21	15.3845
0.22	14.8086
0.23	14.2327
0.24	13.6864
0.25	13.1401
0.26	12.6248
0.27	12.1096
0.28	11.6265
0.29	11.1434
0.3	10.6935
0.31	10.2435
0.32	9.82737
0.33	9.41122
0.34	9.0294
0.35	8.64758
0.36	8.3004
0.37	7.95323
0.38	7.64084
0.39	7.32845
0.4	7.05082
0.41	6.7732
0.42	6.53019
0.43	6.28718
0.44	6.07849
0.45	5.8698
0.46	5.69503
0.47	5.52026
0.48	5.37892
0.49	5.23758
0.5	5.12909
0.51	5.0206
0.52	4.94431
0.53	4.86802
0.54	4.82322
0.55	4.77842
0.56	4.76435
0.57	4.75027
0.58	4.76611
0.59	4.78194
0.6	4.82684
0.61	4.87173
0.62	4.94479
0.63	5.01784
0.64	5.11812
0.65	5.21839
0.66	5.34491
0.67	5.47142
0.68	5.62315
0.69	5.77488
0.7	5.95074
0.71	6.1266
0.72	6.32548
0.73	6.52435
0.74	6.74505
0.75	6.96574
0.76	7.20702
0.77	7.4483
0.78	7.70884
0.79	7.96939
0.8	8.24784
0.81	8.52628
0.82	8.82119
0.83	9.11609
0.84	9.42594
0.85	9.73579
0.86	10.059
0.87	10.3822
0.88	10.7172
0.89	11.0522
0.9	11.3972
0.91	11.7422
0.92	12.0954
0.93	12.4487
0.94	12.8085
0.95	13.1683
0.96	13.5328
0.97	13.8972
0.98	14.2645
0.99	14.6318
1	15
