# x	gauss_k
0	30
0.01	29.1547
0.02	28.3115
0.03	27.4716
0.04	26.6358
0.05	25.8053
0.06	24.9811
0.07	24.1641
0.08	23.3552
0.09	22.5554
0.1	21.7656
0.11	20.9867
0.12	20.2193
0.13	19.4644
0.14	18.7225
0.15	17.9945
0.16	17.281
0.17	16.5825
0.18	15.8996
0.19	15.2329
0.2	14.5828
0.21	13.9497
0.22	13.334
0.23	12.736
0.24	12.1561
0.25	11.5944
0.26	11.0513
0.27	10.5268
0.28	10.0212
0.29	9.53441
0.3	9.06666
0.31	8.61793
0.32	8.18823
0.33	7.77756
0.34	7.38586
0.35	7.01308
0.36	6.65912
0.37	6.3239
0.38	6.00728
0.39	5.70914
0.4	5.42934
0.41	5.16772
0.42	4.92411
0.43	4.69836
0.44	4.49028
0.45	4.29971
0.46	4.12645
0.47	3.97035
0.48	3.8312
0.49	3.70884
0.5	3.6031
0.51	3.51379
0.52	3.44075
0.53	3.38381
0.54	3.3428
0.55	3.31756
0.56	3.30794
0.57	3.31377
0.58	3.33491
0.59	3.37119
0.6	3.42246
0.61	3.48858
0.62	3.56938
0.63	3.6647
0.64	3.77439
0.65	3.89828
0.66	4.0362
0.67	4.18796
0.68	4.35339
0.69	4.53228
0.7	4.72442
0.71	4.92961
0.72	5.14761
0.73	5.37816
0.74	5.62102
0.75	5.87591
0.76	6.14253
0.77	6.42058
0.78	6.70973
0.79	7.00964
0.8	7.31994
0.81	7.64025
0.82	7.97018
0.83	8.3093
0.84	8.65719
0.85	9.01338
0.86	9.37741
0.87	9.74879
0.88	10.127
0.89	10.5116
0.9	10.9019
0.91	11.2975
0.92	11.6978
0.93	12.1023
0.94	12.5103
0.95	12.9213
0.96	13.3346
0.97	13.7498
0.98	14.1661
0.99	14.5831
1	15
