# x	jacobi_kp1
0	30
0.01	29.0234
0.02	28.0501
0.03	27.0768
0.04	26.1132
0.05	25.1496
0.06	24.202
0.07	23.2543
0.08	22.3286
0.09	21.4029
0.1	20.5047
0.11	19.6065
0.12	18.7407
0.13	17.875
0.14	17.0462
0.15	16.2174
0.16	15.4294
0.17	14.6413
0.18	13.8971
0.19	13.153
0.2	12.4551
0.21	11.7571
0.22	11.1072
0.23	10.4573
0.24	9.85643
0.25	9.25554
0.26	8.70409
0.27	8.15264
0.28	7.65045
0.29	7.14826
0.3	6.69463
0.31	6.241
0.32	5.8348
0.33	5.42861
0.34	5.06837
0.35	4.70814
0.36	4.39211
0.37	4.07608
0.38	3.80234
0.39	3.52859
0.4	3.29511
0.41	3.06163
0.42	2.86636
0.43	2.6711
0.44	2.51208
0.45	2.35305
0.46	2.22838
0.47	2.10371
0.48	2.0117
0.49	1.91968
0.5	1.8588
0.51	1.79793
0.52	1.7669
0.53	1.73588
0.54	1.73367
0.55	1.73146
0.56	1.75725
0.57	1.78304
0.58	1.83626
0.59	1.88947
0.6	1.96974
0.61	2.05001
0.62	2.15713
0.63	2.26425
0.64	2.39816
0.65	2.53206
0.66	2.69278
0.67	2.8535
0.68	3.04108
0.69	3.22867
0.7	3.44317
0.71	3.65767
0.72	3.89905
0.73	4.14044
0.74	4.40855
0.75	4.67667
0.76	4.97119
0.77	5.26571
0.78	5.58609
0.79	5.90647
0.8	6.2519
0.81	6.59734
0.82	6.96675
0.83	7.33615
0.84	7.72814
0.85	8.12012
0.86	8.53298
0.87	8.94583
0.88	9.37754
0.89	9.80925
0.9	10.2575
0.91	10.7057
0.92	11.1679
0.93	11.6301
0.94	12.1034
0.95	12.5767
0.96	13.0581
0.97	13.5395
0.98	14.0258
0.99	14.5121
1	15
