# x	gauss_k
0	30
0.01	29.7096
0.02	29.4196
0.03	29.1299
0.04	28.8408
0.05	28.5524
0.06	28.2648
0.07	27.9782
0.08	27.6926
0.09	27.4083
0.1	27.1254
0.11	26.844
0.12	26.5641
0.13	26.286
0.14	26.0098
0.15	25.7356
0.16	25.4635
0.17	25.1936
0.18	24.9261
0.19	24.6611
0.2	24.3986
0.21	24.1388
0.22	23.8818
0.23	23.6277
0.24	23.3766
0.25	23.1285
0.26	22.8837
0.27	22.6421
0.28	22.4039
0.29	22.1691
0.3	21.9378
0.31	21.7102
0.32	21.4862
0.33	21.266
0.34	21.0495
0.35	20.837
0.36	20.6283
0.37	20.4237
0.38	20.2231
0.39	20.0265
0.4	19.8341
0.41	19.6458
0.42	19.4617
0.43	19.2819
0.44	19.1062
0.45	18.9349
0.46	18.7678
0.47	18.605
0.48	18.4465
0.49	18.2923
0.5	18.1424
0.51	17.9969
0.52	17.8556
0.53	17.7186
0.54	17.5858
0.55	17.4573
0.56	17.333
0.57	17.2128
0.58	17.0969
0.59	16.985
0.6	16.8772
0.61	16.7734
0.62	16.6736
0.63	16.5777
0.64	16.4857
0.65	16.3975
0.66	16.313
0.67	16.2322
0.68	16.155
0.69	16.0813
0.7	16.011
0.71	15.9441
0.72	15.8805
0.73	15.82
0.74	15.7627
0.75	15.7083
0.76	15.6569
0.77	15.6082
0.78	15.5623
0.79	15.5189
0.8	15.478
0.81	15.4395
0.82	15.4033
0.83	15.3692
0.84	15.3371
0.85	15.307
0.86	15.2787
0.87	15.252
0.88	15.2269
0.89	15.2032
0.9	15.1808
0.91	15.1596
0.92	15.1394
0.93	15.1201
0.94	15.1016
0.95	15.0838
0.96	15.0665
0.97	15.0496
0.98	15.033
0.99	15.0165
1	15
