# x	gauss_k
0	30
0.01	29.538
0.02	29.0766
0.03	28.6162
0.04	28.1571
0.05	27.6995
0.06	27.2438
0.07	26.7904
0.08	26.3394
0.09	25.8912
0.1	25.4461
0.11	25.0045
0.12	24.5665
0.13	24.1325
0.14	23.7027
0.15	23.2775
0.16	22.8571
0.17	22.4418
0.18	22.0318
0.19	21.6274
0.2	21.2288
0.21	20.8363
0.22	20.4501
0.23	20.0705
0.24	19.6976
0.25	19.3317
0.26	18.973
0.27	18.6216
0.28	18.2778
0.29	17.9418
0.3	17.6137
0.31	17.2936
0.32	16.9819
0.33	16.6784
0.34	16.3836
0.35	16.0973
0.36	15.8199
0.37	15.5513
0.38	15.2917
0.39	15.0412
0.4	14.7999
0.41	14.5678
0.42	14.345
0.43	14.1315
0.44	13.9275
0.45	13.7329
0.46	13.5477
0.47	13.3721
0.48	13.2059
0.49	13.0492
0.5	12.902
0.51	12.7642
0.52	12.6359
0.53	12.5169
0.54	12.4073
0.55	12.307
0.56	12.2159
0.57	12.1339
0.58	12.061
0.59	11.9971
0.6	11.942
0.61	11.8957
0.62	11.858
0.63	11.8288
0.64	11.8081
0.65	11.7955
0.66	11.7911
0.67	11.7946
0.68	11.8059
0.69	11.8248
0.7	11.8512
0.71	11.8848
0.72	11.9255
0.73	11.973
0.74	12.0272
0.75	12.0878
0.76	12.1547
0.77	12.2276
0.78	12.3063
0.79	12.3906
0.8	12.4803
0.81	12.575
0.82	12.6746
0.83	12.7788
0.84	12.8873
0.85	12.9999
0.86	13.1164
0.87	13.2365
0.88	13.3599
0.89	13.4863
0.9	13.6155
0.91	13.7473
0.92	13.8812
0.93	14.0172
0.94	14.1548
0.95	14.2938
0.96	14.4339
0.97	14.5748
0.98	14.7164
0.99	14.8582
1	15
