# x	jacobi_kp1
0	30
0.01	29.428
0.02	28.8568
0.03	28.2857
0.04	27.7174
0.05	27.149
0.06	26.5852
0.07	26.0214
0.08	25.464
0.09	24.9065
0.1	24.3572
0.11	23.8079
0.12	23.2685
0.13	22.729
0.14	22.201
0.15	21.673
0.16	21.1581
0.17	20.6432
0.18	20.1429
0.19	19.6426
0.2	19.1583
0.21	18.6741
0.22	18.2072
0.23	17.7404
0.24	17.2922
0.25	16.844
0.26	16.4157
0.27	15.9873
0.28	15.5799
0.29	15.1725
0.3	14.787
0.31	14.4014
0.32	14.0387
0.33	13.6759
0.34	13.3366
0.35	12.9973
0.36	12.6821
0.37	12.367
0.38	12.0765
0.39	11.786
0.4	11.5207
0.41	11.2553
0.42	11.0153
0.43	10.7754
0.44	10.561
0.45	10.3467
0.46	10.1581
0.47	9.96946
0.48	9.80656
0.49	9.64366
0.5	9.50639
0.51	9.36911
0.52	9.25725
0.53	9.14539
0.54	9.05865
0.55	8.97191
0.56	8.90991
0.57	8.84791
0.58	8.81017
0.59	8.77243
0.6	8.75839
0.61	8.74435
0.62	8.75338
0.63	8.7624
0.64	8.79377
0.65	8.82514
0.66	8.87807
0.67	8.93099
0.68	9.00461
0.69	9.07824
0.7	9.17163
0.71	9.26503
0.72	9.37722
0.73	9.4894
0.74	9.61934
0.75	9.74927
0.76	9.89585
0.77	10.0424
0.78	10.2045
0.79	10.3666
0.8	10.543
0.81	10.7194
0.82	10.9089
0.83	11.0983
0.84	11.2996
0.85	11.5009
0.86	11.7126
0.87	11.9244
0.88	12.1453
0.89	12.3663
0.9	12.595
0.91	12.8237
0.92	13.0588
0.93	13.294
0.94	13.5341
0.95	13.7742
0.96	14.018
0.97	14.2617
0.98	14.5075
0.99	14.7534
1	15
