# x	jacobi_kp1
0	30
0.01	29.2861
0.02	28.5736
0.03	27.8611
0.04	27.1529
0.05	26.4447
0.06	25.7435
0.07	25.0423
0.08	24.3509
0.09	23.6595
0.1	22.9805
0.11	22.3016
0.12	21.6376
0.13	20.9736
0.14	20.3269
0.15	19.6803
0.16	19.0534
0.17	18.4264
0.18	17.8212
0.19	17.216
0.2	16.6345
0.21	16.053
0.22	15.497
0.23	14.9409
0.24	14.4119
0.25	13.8829
0.26	13.3823
0.27	12.8817
0.28	12.4108
0.29	11.9398
0.3	11.4994
0.31	11.0591
0.32	10.6501
0.33	10.2412
0.34	9.86433
0.35	9.48746
0.36	9.14312
0.37	8.79878
0.38	8.48728
0.39	8.17578
0.4	7.89726
0.41	7.61874
0.42	7.37322
0.43	7.12769
0.44	6.91504
0.45	6.7024
0.46	6.52238
0.47	6.34237
0.48	6.19464
0.49	6.04691
0.5	5.93102
0.51	5.81513
0.52	5.73054
0.53	5.64595
0.54	5.59205
0.55	5.53815
0.56	5.51425
0.57	5.49035
0.58	5.49569
0.59	5.50103
0.6	5.53479
0.61	5.56855
0.62	5.62985
0.63	5.69114
0.64	5.77905
0.65	5.86695
0.66	5.98047
0.67	6.09399
0.68	6.23208
0.69	6.37016
0.7	6.53172
0.71	6.69327
0.72	6.87714
0.73	7.06101
0.74	7.26598
0.75	7.47096
0.76	7.69577
0.77	7.92058
0.78	8.16391
0.79	8.40724
0.8	8.6677
0.81	8.92817
0.82	9.20435
0.83	9.48053
0.84	9.77093
0.85	10.0613
0.86	10.3644
0.87	10.6675
0.88	10.9817
0.89	11.2959
0.9	11.6196
0.91	11.9432
0.92	12.2747
0.93	12.6062
0.94	12.9438
0.95	13.2814
0.96	13.6233
0.97	13.9653
0.98	14.3099
0.99	14.6545
1	15
