# x	gauss_k
0	30
0.01	29.6789
0.02	29.3581
0.03	29.0378
0.04	28.7182
0.05	28.3995
0.06	28.0818
0.07	27.7652
0.08	27.45
0.09	27.1363
0.1	26.8242
0.11	26.514
0.12	26.2057
0.13	25.8996
0.14	25.5957
0.15	25.2943
0.16	24.9955
0.17	24.6994
0.18	24.4062
0.19	24.116
0.2	23.8289
0.21	23.5452
0.22	23.2648
0.23	22.9879
0.24	22.7147
0.25	22.4453
0.26	22.1797
0.27	21.9182
0.28	21.6607
0.29	21.4075
0.3	21.1585
0.31	20.914
0.32	20.6739
0.33	20.4384
0.34	20.2075
0.35	19.9814
0.36	19.76
0.37	19.5435
0.38	19.3319
0.39	19.1253
0.4	18.9237
0.41	18.7272
0.42	18.5358
0.43	18.3495
0.44	18.1684
0.45	17.9925
0.46	17.8218
0.47	17.6563
0.48	17.4961
0.49	17.3411
0.5	17.1914
0.51	17.0469
0.52	16.9076
0.53	16.7735
0.54	16.6446
0.55	16.5209
0.56	16.4023
0.57	16.2888
0.58	16.1804
0.59	16.0769
0.6	15.9784
0.61	15.8848
0.62	15.7961
0.63	15.7121
0.64	15.6328
0.65	15.5581
0.66	15.488
0.67	15.4223
0.68	15.361
0.69	15.304
0.7	15.2512
0.71	15.2024
0.72	15.1577
0.73	15.1168
0.74	15.0797
0.75	15.0462
0.76	15.0162
0.77	14.9897
0.78	14.9664
0.79	14.9463
0.8	14.9292
0.81	14.915
0.82	14.9036
0.83	14.8947
0.84	14.8884
0.85	14.8843
0.86	14.8825
0.87	14.8826
0.88	14.8847
0.89	14.8885
0.9	14.8939
0.91	14.9006
0.92	14.9087
0.93	14.9179
0.94	14.928
0.95	14.939
0.96	14.9505
0.97	14.9626
0.98	14.9749
0.99	14.9875
1	15
