# x	gauss_k
0	30
0.01	29.695
0.02	29.3904
0.03	29.0862
0.04	28.7826
0.05	28.4798
0.06	28.1779
0.07	27.877
0.08	27.5774
0.09	27.2791
0.1	26.9823
0.11	26.6872
0.12	26.3939
0.13	26.1025
0.14	25.8131
0.15	25.526
0.16	25.2412
0.17	24.9589
0.18	24.6792
0.19	24.4021
0.2	24.128
0.21	23.8568
0.22	23.5887
0.23	23.3237
0.24	23.0621
0.25	22.8039
0.26	22.5492
0.27	22.2982
0.28	22.0508
0.29	21.8072
0.3	21.5676
0.31	21.3319
0.32	21.1002
0.33	20.8727
0.34	20.6494
0.35	20.4304
0.36	20.2157
0.37	20.0054
0.38	19.7996
0.39	19.5983
0.4	19.4015
0.41	19.2092
0.42	19.0217
0.43	18.8387
0.44	18.6605
0.45	18.487
0.46	18.3182
0.47	18.1541
0.48	17.9948
0.49	17.8402
0.5	17.6904
0.51	17.5453
0.52	17.4049
0.53	17.2693
0.54	17.1384
0.55	17.0121
0.56	16.8905
0.57	16.7735
0.58	16.6611
0.59	16.5533
0.6	16.4499
0.61	16.3509
0.62	16.2564
0.63	16.1661
0.64	16.0802
0.65	15.9984
0.66	15.9207
0.67	15.8471
0.68	15.7774
0.69	15.7117
0.7	15.6497
0.71	15.5914
0.72	15.5367
0.73	15.4856
0.74	15.4379
0.75	15.3934
0.76	15.3522
0.77	15.314
0.78	15.2789
0.79	15.2466
0.8	15.217
0.81	15.1901
0.82	15.1656
0.83	15.1435
0.84	15.1237
0.85	15.106
0.86	15.0902
0.87	15.0763
0.88	15.0641
0.89	15.0535
0.9	15.0443
0.91	15.0364
0.92	15.0297
0.93	15.0239
0.94	15.0191
0.95	15.0149
0.96	15.0114
0.97	15.0082
0.98	15.0054
0.99	15.0027
1	15
