# x	gauss_k
0	30
0.01	29.3169
0.02	28.635
0.03	27.955
0.04	27.2775
0.05	26.6031
0.06	25.9325
0.07	25.2662
0.08	24.6049
0.09	23.949
0.1	23.2992
0.11	22.6561
0.12	22.0201
0.13	21.3918
0.14	20.7718
0.15	20.1604
0.16	19.5583
0.17	18.9658
0.18	18.3835
0.19	17.8117
0.2	17.2508
0.21	16.7013
0.22	16.1636
0.23	15.6379
0.24	15.1247
0.25	14.6242
0.26	14.1367
0.27	13.6627
0.28	13.2022
0.29	12.7555
0.3	12.3229
0.31	11.9046
0.32	11.5007
0.33	11.1115
0.34	10.7371
0.35	10.3776
0.36	10.0332
0.37	9.70385
0.38	9.38978
0.39	9.09101
0.4	8.8076
0.41	8.53959
0.42	8.28701
0.43	8.04985
0.44	7.82813
0.45	7.62182
0.46	7.4309
0.47	7.25531
0.48	7.09501
0.49	6.94993
0.5	6.81999
0.51	6.70509
0.52	6.60514
0.53	6.52002
0.54	6.44961
0.55	6.39378
0.56	6.35237
0.57	6.32523
0.58	6.3122
0.59	6.31311
0.6	6.32777
0.61	6.35598
0.62	6.39754
0.63	6.45224
0.64	6.51986
0.65	6.60017
0.66	6.69292
0.67	6.79786
0.68	6.91475
0.69	7.04331
0.7	7.18326
0.71	7.33433
0.72	7.49621
0.73	7.66862
0.74	7.85123
0.75	8.04374
0.76	8.24581
0.77	8.45712
0.78	8.67732
0.79	8.90606
0.8	9.14299
0.81	9.38775
0.82	9.63996
0.83	9.89925
0.84	10.1652
0.85	10.4375
0.86	10.7157
0.87	10.9994
0.88	11.2883
0.89	11.5818
0.9	11.8796
0.91	12.1813
0.92	12.4864
0.93	12.7945
0.94	13.1053
0.95	13.4182
0.96	13.7328
0.97	14.0487
0.98	14.3655
0.99	14.6828
1	15
