# x	jacobi_kp1
0	30
0.01	27.6123
0.02	25.2715
0.03	22.9306
0.04	20.7248
0.05	18.519
0.06	16.5213
0.07	14.5236
0.08	12.7848
0.09	11.046
0.1	9.59182
0.11	8.13759
0.12	6.96901
0.13	5.80044
0.14	4.89838
0.15	3.99632
0.16	3.32755
0.17	2.65878
0.18	2.18271
0.19	1.70664
0.2	1.38132
0.21	1.05601
0.22	0.842684
0.23	0.629362
0.24	0.495176
0.25	0.360989
0.26	0.280051
0.27	0.199114
0.28	0.152321
0.29	0.105529
0.3	0.0796136
0.31	0.0536979
0.32	0.0399548
0.33	0.0262116
0.34	0.0192375
0.35	0.0122633
0.36	0.00887881
0.37	0.0054943
0.38	0.00392467
0.39	0.00235505
0.4	0.00165993
0.41	0.000964817
0.42	0.000671128
0.43	0.00037744
0.44	0.000259225
0.45	0.000141011
0.46	9.59294e-05
0.47	5.08479e-05
0.48	3.52359e-05
0.49	1.96239e-05
0.5	1.67541e-05
0.51	1.38844e-05
0.52	2.02745e-05
0.53	2.66645e-05
0.54	4.87639e-05
0.55	7.08633e-05
0.56	0.00012984
0.57	0.000188817
0.58	0.000335626
0.59	0.000482434
0.6	0.000829981
0.61	0.00117753
0.62	0.00196234
0.63	0.00274715
0.64	0.0044394
0.65	0.00613166
0.66	0.00961873
0.67	0.0131058
0.68	0.0199774
0.69	0.026849
0.7	0.0398068
0.71	0.0527646
0.72	0.0761607
0.73	0.0995568
0.74	0.140026
0.75	0.180495
0.76	0.247588
0.77	0.314681
0.78	0.421342
0.79	0.528003
0.8	0.690661
0.81	0.853319
0.82	1.09136
0.83	1.32939
0.84	1.66378
0.85	1.99816
0.86	2.44919
0.87	2.90022
0.88	3.48451
0.89	4.0688
0.9	4.79591
0.91	5.52302
0.92	6.3924
0.93	7.26178
0.94	8.26063
0.95	9.25949
0.96	10.3624
0.97	11.4653
0.98	12.6357
0.99	13.8062
1	15
