# x	jacobi_kp1
0	30
0.01	29.3199
0.02	28.641
0.03	27.9621
0.04	27.2871
0.05	26.612
0.06	25.9434
0.07	25.2747
0.08	24.6148
0.09	23.955
0.1	23.3063
0.11	22.6577
0.12	22.0226
0.13	21.3875
0.14	20.7682
0.15	20.1489
0.16	19.5474
0.17	18.9459
0.18	18.3643
0.19	17.7826
0.2	17.2226
0.21	16.6626
0.22	16.1259
0.23	15.5892
0.24	15.0774
0.25	14.5656
0.26	14.0799
0.27	13.5943
0.28	13.1361
0.29	12.6779
0.3	12.2481
0.31	11.8183
0.32	11.4178
0.33	11.0174
0.34	10.6469
0.35	10.2765
0.36	9.93661
0.37	9.59674
0.38	9.28786
0.39	8.97897
0.4	8.70133
0.41	8.42369
0.42	8.17742
0.43	7.93115
0.44	7.71625
0.45	7.50135
0.46	7.31769
0.47	7.13403
0.48	6.98138
0.49	6.82873
0.5	6.70675
0.51	6.58476
0.52	6.493
0.53	6.40124
0.54	6.33917
0.55	6.2771
0.56	6.2441
0.57	6.2111
0.58	6.20649
0.59	6.20187
0.6	6.22486
0.61	6.24785
0.62	6.29761
0.63	6.34737
0.64	6.42299
0.65	6.49862
0.66	6.59913
0.67	6.69964
0.68	6.82401
0.69	6.94839
0.7	7.09553
0.71	7.24267
0.72	7.41144
0.73	7.58021
0.74	7.7694
0.75	7.95859
0.76	8.16694
0.77	8.3753
0.78	8.60151
0.79	8.82773
0.8	9.07044
0.81	9.31316
0.82	9.57097
0.83	9.82877
0.84	10.1002
0.85	10.3717
0.86	10.6553
0.87	10.9389
0.88	11.2331
0.89	11.5273
0.9	11.8305
0.91	12.1338
0.92	12.4445
0.93	12.7552
0.94	13.0717
0.95	13.3882
0.96	13.7089
0.97	14.0296
0.98	14.3528
0.99	14.676
1	15
