# x	gauss_k
0	30
0.01	29.5044
0.02	29.0095
0.03	28.5157
0.04	28.0232
0.05	27.5326
0.06	27.0441
0.07	26.558
0.08	26.0747
0.09	25.5946
0.1	25.1179
0.11	24.6451
0.12	24.1763
0.13	23.7121
0.14	23.2526
0.15	22.7981
0.16	22.349
0.17	21.9056
0.18	21.4682
0.19	21.037
0.2	20.6123
0.21	20.1944
0.22	19.7835
0.23	19.38
0.24	18.984
0.25	18.5957
0.26	18.2154
0.27	17.8434
0.28	17.4798
0.29	17.1248
0.3	16.7786
0.31	16.4414
0.32	16.1134
0.33	15.7946
0.34	15.4854
0.35	15.1857
0.36	14.8958
0.37	14.6157
0.38	14.3456
0.39	14.0856
0.4	13.8357
0.41	13.5961
0.42	13.3667
0.43	13.1477
0.44	12.9391
0.45	12.7409
0.46	12.5531
0.47	12.3759
0.48	12.2091
0.49	12.0528
0.5	11.9069
0.51	11.7714
0.52	11.6464
0.53	11.5317
0.54	11.4272
0.55	11.333
0.56	11.249
0.57	11.175
0.58	11.1109
0.59	11.0567
0.6	11.0123
0.61	10.9775
0.62	10.9522
0.63	10.9362
0.64	10.9294
0.65	10.9317
0.66	10.9429
0.67	10.9628
0.68	10.9912
0.69	11.0279
0.7	11.0728
0.71	11.1257
0.72	11.1863
0.73	11.2544
0.74	11.3298
0.75	11.4122
0.76	11.5015
0.77	11.5974
0.78	11.6996
0.79	11.808
0.8	11.9221
0.81	12.0419
0.82	12.1669
0.83	12.297
0.84	12.4318
0.85	12.5711
0.86	12.7147
0.87	12.8621
0.88	13.0132
0.89	13.1675
0.9	13.325
0.91	13.4851
0.92	13.6477
0.93	13.8125
0.94	13.9791
0.95	14.1472
0.96	14.3165
0.97	14.4868
0.98	14.6576
0.99	14.8288
1	15
