# x	jacobi_kp1
0	30
0.01	29.0963
0.02	28.1952
0.03	27.2941
0.04	26.4008
0.05	25.5075
0.06	24.627
0.07	23.7465
0.08	22.8836
0.09	22.0208
0.1	21.1801
0.11	20.3394
0.12	19.5251
0.13	18.7109
0.14	17.9268
0.15	17.1427
0.16	16.3922
0.17	15.6417
0.18	14.9277
0.19	14.2136
0.2	13.5384
0.21	12.8632
0.22	12.2287
0.23	11.5943
0.24	11.0019
0.25	10.4096
0.26	9.86026
0.27	9.31095
0.28	8.80515
0.29	8.29935
0.3	7.83714
0.31	7.37492
0.32	6.95599
0.33	6.53706
0.34	6.1608
0.35	5.78455
0.36	5.45011
0.37	5.11567
0.38	4.82199
0.39	4.5283
0.4	4.27417
0.41	4.02004
0.42	3.80417
0.43	3.5883
0.44	3.40936
0.45	3.23042
0.46	3.08709
0.47	2.94375
0.48	2.83474
0.49	2.72573
0.5	2.64983
0.51	2.57392
0.52	2.53002
0.53	2.48612
0.54	2.47321
0.55	2.4603
0.56	2.4775
0.57	2.4947
0.58	2.54124
0.59	2.58777
0.6	2.66297
0.61	2.73817
0.62	2.84145
0.63	2.94473
0.64	3.07557
0.65	3.20641
0.66	3.36433
0.67	3.52225
0.68	3.70678
0.69	3.89131
0.7	4.10195
0.71	4.31258
0.72	4.54878
0.73	4.78497
0.74	5.04606
0.75	5.30716
0.76	5.59239
0.77	5.87763
0.78	6.18608
0.79	6.49454
0.8	6.82513
0.81	7.15572
0.82	7.50716
0.83	7.85861
0.84	8.22945
0.85	8.60029
0.86	8.98883
0.87	9.37738
0.88	9.78177
0.89	10.1861
0.9	10.6043
0.91	11.0225
0.92	11.4521
0.93	11.8818
0.94	12.3206
0.95	12.7595
0.96	13.2049
0.97	13.6503
0.98	14.0998
0.99	14.5492
1	15
