# x	jacobi_kp1
0	30
0.01	29.3504
0.02	28.702
0.03	28.0536
0.04	27.4086
0.05	26.7637
0.06	26.1246
0.07	25.4854
0.08	24.8543
0.09	24.2232
0.1	23.6024
0.11	22.9815
0.12	22.3731
0.13	21.7646
0.14	21.1705
0.15	20.5765
0.16	19.9988
0.17	19.4211
0.18	18.8616
0.19	18.3021
0.2	17.7626
0.21	17.223
0.22	16.705
0.23	16.187
0.24	15.6919
0.25	15.1969
0.26	14.7262
0.27	14.2554
0.28	13.8102
0.29	13.3649
0.3	12.9462
0.31	12.5274
0.32	12.1361
0.33	11.7448
0.34	11.3817
0.35	11.0185
0.36	10.6842
0.37	10.3498
0.38	10.0446
0.39	9.73952
0.4	9.46397
0.41	9.18841
0.42	8.94265
0.43	8.69688
0.44	8.48097
0.45	8.26507
0.46	8.07899
0.47	7.8929
0.48	7.73649
0.49	7.58009
0.5	7.45309
0.51	7.32609
0.52	7.22814
0.53	7.13019
0.54	7.06083
0.55	6.99147
0.56	6.95015
0.57	6.90883
0.58	6.89492
0.59	6.88101
0.6	6.89379
0.61	6.90657
0.62	6.94524
0.63	6.98392
0.64	7.04764
0.65	7.11135
0.66	7.19917
0.67	7.28698
0.68	7.39791
0.69	7.50883
0.7	7.6418
0.71	7.77477
0.72	7.92866
0.73	8.08256
0.74	8.25621
0.75	8.42986
0.76	8.62203
0.77	8.81421
0.78	9.02363
0.79	9.23306
0.8	9.4584
0.81	9.68374
0.82	9.92364
0.83	10.1635
0.84	10.4166
0.85	10.6696
0.86	10.9343
0.87	11.199
0.88	11.474
0.89	11.7489
0.9	12.0325
0.91	12.3161
0.92	12.6069
0.93	12.8976
0.94	13.194
0.95	13.4903
0.96	13.7906
0.97	14.091
0.98	14.3937
0.99	14.6965
1	15
