# x	gauss_k
0	30
0.01	29.2464
0.02	28.4943
0.03	27.7446
0.04	26.998
0.05	26.2553
0.06	25.5173
0.07	24.7847
0.08	24.0582
0.09	23.3385
0.1	22.6263
0.11	21.9223
0.12	21.2272
0.13	20.5415
0.14	19.8658
0.15	19.2008
0.16	18.547
0.17	17.9049
0.18	17.275
0.19	16.6578
0.2	16.0538
0.21	15.4633
0.22	14.8868
0.23	14.3246
0.24	13.7771
0.25	13.2446
0.26	12.7274
0.27	12.2257
0.28	11.7397
0.29	11.2698
0.3	10.8161
0.31	10.3787
0.32	9.95775
0.33	9.55344
0.34	9.16584
0.35	8.79503
0.36	8.44106
0.37	8.10399
0.38	7.78384
0.39	7.48062
0.4	7.19432
0.41	6.92492
0.42	6.67238
0.43	6.43667
0.44	6.21772
0.45	6.01546
0.46	5.82981
0.47	5.66068
0.48	5.50796
0.49	5.37155
0.5	5.25134
0.51	5.14718
0.52	5.05896
0.53	4.98652
0.54	4.92973
0.55	4.88842
0.56	4.86243
0.57	4.8516
0.58	4.85575
0.59	4.87469
0.6	4.90824
0.61	4.95619
0.62	5.01835
0.63	5.09451
0.64	5.18444
0.65	5.28791
0.66	5.4047
0.67	5.53456
0.68	5.67723
0.69	5.83246
0.7	5.99997
0.71	6.17949
0.72	6.37073
0.73	6.57339
0.74	6.78715
0.75	7.0117
0.76	7.24672
0.77	7.49185
0.78	7.74676
0.79	8.01107
0.8	8.28443
0.81	8.56644
0.82	8.85673
0.83	9.15488
0.84	9.46049
0.85	9.77314
0.86	10.0924
0.87	10.4178
0.88	10.749
0.89	11.0854
0.9	11.4267
0.91	11.7723
0.92	12.1218
0.93	12.4748
0.94	12.8306
0.95	13.1889
0.96	13.5492
0.97	13.9109
0.98	14.2736
0.99	14.6368
1	15
