# x	gauss_k
0	30
0.01	29.4238
0.02	28.8485
0.03	28.2746
0.04	27.7025
0.05	27.1327
0.06	26.5655
0.07	26.0016
0.08	25.4412
0.09	24.8849
0.1	24.3329
0.11	23.7859
0.12	23.2441
0.13	22.708
0.14	22.178
0.15	21.6545
0.16	21.1377
0.17	20.6282
0.18	20.1263
0.19	19.6323
0.2	19.1465
0.21	18.6693
0.22	18.201
0.23	17.7419
0.24	17.2923
0.25	16.8525
0.26	16.4227
0.27	16.0032
0.28	15.5943
0.29	15.1962
0.3	14.8091
0.31	14.4332
0.32	14.0686
0.33	13.7157
0.34	13.3746
0.35	13.0453
0.36	12.7281
0.37	12.423
0.38	12.1303
0.39	11.8499
0.4	11.5821
0.41	11.3268
0.42	11.0841
0.43	10.8541
0.44	10.6368
0.45	10.4323
0.46	10.2405
0.47	10.0615
0.48	9.89517
0.49	9.74159
0.5	9.60069
0.51	9.47242
0.52	9.35673
0.53	9.25354
0.54	9.16277
0.55	9.08432
0.56	9.0181
0.57	8.96398
0.58	8.92185
0.59	8.89155
0.6	8.87295
0.61	8.86589
0.62	8.87021
0.63	8.88572
0.64	8.91224
0.65	8.94957
0.66	8.99751
0.67	9.05585
0.68	9.12437
0.69	9.20283
0.7	9.29099
0.71	9.38862
0.72	9.49545
0.73	9.61122
0.74	9.73568
0.75	9.86853
0.76	10.0095
0.77	10.1583
0.78	10.3146
0.79	10.4782
0.8	10.6487
0.81	10.8258
0.82	11.0091
0.83	11.1985
0.84	11.3935
0.85	11.5938
0.86	11.7991
0.87	12.009
0.88	12.2232
0.89	12.4414
0.9	12.6632
0.91	12.8881
0.92	13.116
0.93	13.3465
0.94	13.579
0.95	13.8135
0.96	14.0493
0.97	14.2863
0.98	14.5239
0.99	14.762
1	15
