# x	gauss_k
0	30
0.01	29.0233
0.02	28.0497
0.03	27.0811
0.04	26.1188
0.05	25.1645
0.06	24.2196
0.07	23.2855
0.08	22.3636
0.09	21.4551
0.1	20.5615
0.11	19.6837
0.12	18.8229
0.13	17.9801
0.14	17.1562
0.15	16.3521
0.16	15.5685
0.17	14.8061
0.18	14.0655
0.19	13.3472
0.2	12.6516
0.21	11.979
0.22	11.3298
0.23	10.7041
0.24	10.102
0.25	9.52353
0.26	8.96872
0.27	8.43746
0.28	7.92961
0.29	7.44497
0.3	6.9833
0.31	6.54431
0.32	6.12768
0.33	5.73305
0.34	5.36004
0.35	5.00824
0.36	4.67723
0.37	4.36656
0.38	4.0758
0.39	3.80449
0.4	3.5522
0.41	3.31846
0.42	3.10286
0.43	2.90497
0.44	2.72438
0.45	2.56071
0.46	2.41358
0.47	2.28266
0.48	2.16763
0.49	2.0682
0.5	1.98409
0.51	1.91508
0.52	1.86096
0.53	1.82155
0.54	1.7967
0.55	1.78629
0.56	1.79022
0.57	1.80841
0.58	1.84083
0.59	1.88743
0.6	1.94822
0.61	2.02321
0.62	2.1124
0.63	2.21583
0.64	2.33355
0.65	2.46559
0.66	2.61198
0.67	2.77278
0.68	2.94802
0.69	3.1377
0.7	3.34185
0.71	3.56045
0.72	3.79347
0.73	4.04086
0.74	4.30253
0.75	4.57838
0.76	4.86826
0.77	5.17199
0.78	5.48937
0.79	5.82013
0.8	6.164
0.81	6.52063
0.82	6.88966
0.83	7.27066
0.84	7.6632
0.85	8.06676
0.86	8.48081
0.87	8.90479
0.88	9.33806
0.89	9.78
0.9	10.2299
0.91	10.6871
0.92	11.1508
0.93	11.6203
0.94	12.0947
0.95	12.5733
0.96	13.0553
0.97	13.5398
0.98	14.026
0.99	14.513
1	15
