# x	gauss_k
0	30
0.01	28.8039
0.02	27.6138
0.03	26.4325
0.04	25.2628
0.05	24.1075
0.06	22.9691
0.07	21.8501
0.08	20.7526
0.09	19.6789
0.1	18.6309
0.11	17.6103
0.12	16.6188
0.13	15.6576
0.14	14.7281
0.15	13.8311
0.16	12.9675
0.17	12.1379
0.18	11.3427
0.19	10.5822
0.2	9.85637
0.21	9.16522
0.22	8.50849
0.23	7.88579
0.24	7.29662
0.25	6.74037
0.26	6.21629
0.27	5.72356
0.28	5.26129
0.29	4.82849
0.3	4.42415
0.31	4.04718
0.32	3.69647
0.33	3.37091
0.34	3.06933
0.35	2.79061
0.36	2.5336
0.37	2.29719
0.38	2.08027
0.39	1.88177
0.4	1.70068
0.41	1.536
0.42	1.3868
0.43	1.25221
0.44	1.13141
0.45	1.02364
0.46	0.928211
0.47	0.844508
0.48	0.771986
0.49	0.710171
0.5	0.65867
0.51	0.617161
0.52	0.585404
0.53	0.563234
0.54	0.55056
0.55	0.54737
0.56	0.553725
0.57	0.569756
0.58	0.595663
0.59	0.631714
0.6	0.678235
0.61	0.735612
0.62	0.804282
0.63	0.884725
0.64	0.977466
0.65	1.08306
0.66	1.20209
0.67	1.33514
0.68	1.48284
0.69	1.64578
0.7	1.82456
0.71	2.01977
0.72	2.23195
0.73	2.46163
0.74	2.70926
0.75	2.97527
0.76	3.26
0.77	3.56373
0.78	3.88666
0.79	4.2289
0.8	4.59046
0.81	4.97125
0.82	5.3711
0.83	5.78971
0.84	6.22668
0.85	6.6815
0.86	7.15355
0.87	7.6421
0.88	8.14632
0.89	8.66528
0.9	9.19796
0.91	9.74323
0.92	10.2999
0.93	10.8667
0.94	11.4423
0.95	12.0253
0.96	12.6142
0.97	13.2077
0.98	13.8041
0.99	14.402
1	15
