# x	gauss_k
0	30
0.01	29.5951
0.02	29.1906
0.03	28.787
0.04	28.3843
0.05	27.983
0.06	27.5831
0.07	27.185
0.08	26.789
0.09	26.3952
0.1	26.0039
0.11	25.6154
0.12	25.2298
0.13	24.8474
0.14	24.4685
0.15	24.0932
0.16	23.7219
0.17	23.3546
0.18	22.9916
0.19	22.6332
0.2	22.2795
0.21	21.9307
0.22	21.587
0.23	21.2486
0.24	20.9157
0.25	20.5885
0.26	20.2671
0.27	19.9516
0.28	19.6423
0.29	19.3393
0.3	19.0427
0.31	18.7528
0.32	18.4695
0.33	18.193
0.34	17.9235
0.35	17.661
0.36	17.4057
0.37	17.1576
0.38	16.9169
0.39	16.6835
0.4	16.4577
0.41	16.2394
0.42	16.0287
0.43	15.8257
0.44	15.6303
0.45	15.4427
0.46	15.2629
0.47	15.0908
0.48	14.9265
0.49	14.77
0.5	14.6212
0.51	14.4802
0.52	14.347
0.53	14.2215
0.54	14.1037
0.55	13.9935
0.56	13.8909
0.57	13.7959
0.58	13.7083
0.59	13.6281
0.6	13.5553
0.61	13.4896
0.62	13.4311
0.63	13.3797
0.64	13.3351
0.65	13.2974
0.66	13.2664
0.67	13.242
0.68	13.224
0.69	13.2123
0.7	13.2068
0.71	13.2073
0.72	13.2136
0.73	13.2257
0.74	13.2432
0.75	13.2662
0.76	13.2943
0.77	13.3274
0.78	13.3653
0.79	13.4079
0.8	13.4549
0.81	13.5061
0.82	13.5614
0.83	13.6205
0.84	13.6833
0.85	13.7494
0.86	13.8188
0.87	13.8911
0.88	13.9662
0.89	14.0438
0.9	14.1237
0.91	14.2058
0.92	14.2897
0.93	14.3752
0.94	14.4621
0.95	14.5502
0.96	14.6392
0.97	14.7289
0.98	14.8191
0.99	14.9096
1	15
