# x	gauss_k
0	30
0.01	29.6413
0.02	29.2829
0.03	28.9252
0.04	28.5683
0.05	28.2125
0.06	27.8579
0.07	27.5047
0.08	27.1532
0.09	26.8035
0.1	26.4558
0.11	26.1104
0.12	25.7674
0.13	25.427
0.14	25.0894
0.15	24.7548
0.16	24.4234
0.17	24.0953
0.18	23.7707
0.19	23.4498
0.2	23.1327
0.21	22.8196
0.22	22.5107
0.23	22.2062
0.24	21.9061
0.25	21.6106
0.26	21.3198
0.27	21.034
0.28	20.7531
0.29	20.4774
0.3	20.2069
0.31	19.9418
0.32	19.6822
0.33	19.4282
0.34	19.1798
0.35	18.9372
0.36	18.7004
0.37	18.4696
0.38	18.2448
0.39	18.026
0.4	17.8133
0.41	17.6069
0.42	17.4066
0.43	17.2127
0.44	17.025
0.45	16.8437
0.46	16.6687
0.47	16.5002
0.48	16.3379
0.49	16.1821
0.5	16.0327
0.51	15.8897
0.52	15.753
0.53	15.6226
0.54	15.4986
0.55	15.3809
0.56	15.2694
0.57	15.1641
0.58	15.0649
0.59	14.9718
0.6	14.8848
0.61	14.8037
0.62	14.7285
0.63	14.659
0.64	14.5953
0.65	14.5372
0.66	14.4847
0.67	14.4375
0.68	14.3957
0.69	14.3591
0.7	14.3276
0.71	14.301
0.72	14.2792
0.73	14.2622
0.74	14.2497
0.75	14.2417
0.76	14.2379
0.77	14.2383
0.78	14.2426
0.79	14.2508
0.8	14.2626
0.81	14.278
0.82	14.2967
0.83	14.3185
0.84	14.3434
0.85	14.3711
0.86	14.4014
0.87	14.4342
0.88	14.4692
0.89	14.5064
0.9	14.5455
0.91	14.5863
0.92	14.6287
0.93	14.6724
0.94	14.7172
0.95	14.7631
0.96	14.8097
0.97	14.8569
0.98	14.9045
0.99	14.9522
1	15
