# x	jacobi_kp1
0	30
0.01	29.2054
0.02	28.4126
0.03	27.6199
0.04	26.8326
0.05	26.0454
0.06	25.2672
0.07	24.489
0.08	23.7234
0.09	22.9578
0.1	22.2081
0.11	21.4584
0.12	20.7277
0.13	19.9971
0.14	19.2885
0.15	18.5798
0.16	17.8959
0.17	17.212
0.18	16.5553
0.19	15.8986
0.2	15.2713
0.21	14.6439
0.22	14.0478
0.23	13.4517
0.24	12.8885
0.25	12.3253
0.26	11.7963
0.27	11.2672
0.28	10.7735
0.29	10.2797
0.3	9.82189
0.31	9.36411
0.32	8.94288
0.33	8.52164
0.34	8.13724
0.35	7.75284
0.36	7.40535
0.37	7.05786
0.38	6.74719
0.39	6.43651
0.4	6.16238
0.41	5.88824
0.42	5.65024
0.43	5.41224
0.44	5.20985
0.45	5.00746
0.46	4.84006
0.47	4.67266
0.48	4.53957
0.49	4.40648
0.5	4.30694
0.51	4.20741
0.52	4.14065
0.53	4.07389
0.54	4.0391
0.55	4.0043
0.56	4.00064
0.57	3.99697
0.58	4.02358
0.59	4.0502
0.6	4.10623
0.61	4.16226
0.62	4.24684
0.63	4.33141
0.64	4.44363
0.65	4.55585
0.66	4.6948
0.67	4.83375
0.68	4.99848
0.69	5.1632
0.7	5.35271
0.71	5.54221
0.72	5.75546
0.73	5.9687
0.74	6.20458
0.75	6.44045
0.76	6.69778
0.77	6.95511
0.78	7.23265
0.79	7.51018
0.8	7.80658
0.81	8.10298
0.82	8.41682
0.83	8.73066
0.84	9.06042
0.85	9.39017
0.86	9.73424
0.87	10.0783
0.88	10.435
0.89	10.7917
0.9	11.1592
0.91	11.5267
0.92	11.9032
0.93	12.2797
0.94	12.6632
0.95	13.0467
0.96	13.4353
0.97	13.824
0.98	14.2156
0.99	14.6073
1	15
