# x	jacobi_kp1
0	30
0.01	28.6192
0.02	27.2475
0.03	25.8758
0.04	24.5312
0.05	23.1866
0.06	21.8859
0.07	20.5853
0.08	19.3437
0.09	18.1022
0.1	16.9327
0.11	15.7633
0.12	14.6763
0.13	13.5893
0.14	12.5923
0.15	11.5953
0.16	10.693
0.17	9.79064
0.18	8.98479
0.19	8.17894
0.2	7.46879
0.21	6.75863
0.22	6.14112
0.23	5.52361
0.24	4.9938
0.25	4.46398
0.26	4.01546
0.27	3.56693
0.28	3.19231
0.29	2.81769
0.3	2.509
0.31	2.20031
0.32	1.94941
0.33	1.69851
0.34	1.49743
0.35	1.29634
0.36	1.1375
0.37	0.978658
0.38	0.855139
0.39	0.731619
0.4	0.637256
0.41	0.542894
0.42	0.472376
0.43	0.401858
0.44	0.350759
0.45	0.299659
0.46	0.264441
0.47	0.229222
0.48	0.207211
0.49	0.1852
0.5	0.174555
0.51	0.163909
0.52	0.163573
0.53	0.163237
0.54	0.172901
0.55	0.182564
0.56	0.202624
0.57	0.222683
0.58	0.2542
0.59	0.285717
0.6	0.330383
0.61	0.375048
0.62	0.435141
0.63	0.495233
0.64	0.573562
0.65	0.651891
0.66	0.751732
0.67	0.851573
0.68	0.976574
0.69	1.10158
0.7	1.25564
0.71	1.4097
0.72	1.59684
0.73	1.78398
0.74	2.00814
0.75	2.23229
0.76	2.49714
0.77	2.76198
0.78	3.0707
0.79	3.37942
0.8	3.73447
0.81	4.08953
0.82	4.49244
0.83	4.89535
0.84	5.34651
0.85	5.79767
0.86	6.29616
0.87	6.79465
0.88	7.33814
0.89	7.88164
0.9	8.46636
0.91	9.05109
0.92	9.67186
0.93	10.2926
0.94	10.943
0.95	11.5933
0.96	12.2656
0.97	12.9379
0.98	13.6237
0.99	14.3096
1	15
