# x	jacobi_kp1
0	30
0.01	29.1556
0.02	28.3134
0.03	27.4711
0.04	26.6353
0.05	25.7995
0.06	24.9743
0.07	24.1492
0.08	23.3387
0.09	22.5282
0.1	21.7363
0.11	20.9443
0.12	20.1745
0.13	19.4047
0.14	18.6604
0.15	17.9161
0.16	17.2003
0.17	16.4844
0.18	15.7997
0.19	15.115
0.2	14.4637
0.21	13.8124
0.22	13.1965
0.23	12.5806
0.24	12.0015
0.25	11.4225
0.26	10.8816
0.27	10.3407
0.28	9.83869
0.29	9.3367
0.3	8.87417
0.31	8.41164
0.32	7.98878
0.33	7.56592
0.34	7.18268
0.35	6.79943
0.36	6.45551
0.37	6.1116
0.38	5.80652
0.39	5.50145
0.4	5.23457
0.41	4.9677
0.42	4.73825
0.43	4.50881
0.44	4.31594
0.45	4.12306
0.46	3.96585
0.47	3.80863
0.48	3.68612
0.49	3.56361
0.5	3.47486
0.51	3.38611
0.52	3.33018
0.53	3.27424
0.54	3.25021
0.55	3.22617
0.56	3.23315
0.57	3.24014
0.58	3.27729
0.59	3.31444
0.6	3.38095
0.61	3.44746
0.62	3.54254
0.63	3.63762
0.64	3.7605
0.65	3.88338
0.66	4.03329
0.67	4.18319
0.68	4.35934
0.69	4.53549
0.7	4.73707
0.71	4.93864
0.72	5.16477
0.73	5.3909
0.74	5.64064
0.75	5.89038
0.76	6.1627
0.77	6.43502
0.78	6.72879
0.79	7.02255
0.8	7.33652
0.81	7.65048
0.82	7.98326
0.83	8.31604
0.84	8.66614
0.85	9.01623
0.86	9.38199
0.87	9.74775
0.88	10.1274
0.89	10.507
0.9	10.8987
0.91	11.2903
0.92	11.692
0.93	12.0936
0.94	12.5031
0.95	12.9126
0.96	13.3278
0.97	13.743
0.98	14.1616
0.99	14.5802
1	15
