# x	jacobi_kp1
0	30
0.01	29.4904
0.02	28.9816
0.03	28.4728
0.04	27.9662
0.05	27.4596
0.06	26.9568
0.07	26.454
0.08	25.9564
0.09	25.4588
0.1	24.9679
0.11	24.477
0.12	23.9942
0.13	23.5114
0.14	23.038
0.15	22.5647
0.16	22.1021
0.17	21.6396
0.18	21.1891
0.19	20.7387
0.2	20.3015
0.21	19.8643
0.22	19.4416
0.23	19.0189
0.24	18.6117
0.25	18.2045
0.26	17.8139
0.27	17.4233
0.28	17.0502
0.29	16.6771
0.3	16.3223
0.31	15.9676
0.32	15.632
0.33	15.2964
0.34	14.9806
0.35	14.6648
0.36	14.3694
0.37	14.0741
0.38	13.7997
0.39	13.5253
0.4	13.2722
0.41	13.0192
0.42	12.7879
0.43	12.5565
0.44	12.3472
0.45	12.1378
0.46	11.9505
0.47	11.7632
0.48	11.5981
0.49	11.433
0.5	11.29
0.51	11.1471
0.52	11.0261
0.53	10.9052
0.54	10.8061
0.55	10.707
0.56	10.6295
0.57	10.5519
0.58	10.4956
0.59	10.4393
0.6	10.4037
0.61	10.3681
0.62	10.3528
0.63	10.3374
0.64	10.3417
0.65	10.3461
0.66	10.3694
0.67	10.3927
0.68	10.4343
0.69	10.4759
0.7	10.535
0.71	10.5941
0.72	10.6699
0.73	10.7456
0.74	10.8371
0.75	10.9286
0.76	11.0349
0.77	11.1412
0.78	11.2613
0.79	11.3813
0.8	11.5142
0.81	11.647
0.82	11.7915
0.83	11.9359
0.84	12.091
0.85	12.246
0.86	12.4103
0.87	12.5747
0.88	12.7473
0.89	12.9199
0.9	13.0994
0.91	13.2789
0.92	13.4642
0.93	13.6494
0.94	13.8392
0.95	14.0289
0.96	14.2218
0.97	14.4148
0.98	14.6096
0.99	14.8045
1	15
