# x	gauss_k
0	30
0.01	29.4666
0.02	28.934
0.03	28.4026
0.04	27.8729
0.05	27.3451
0.06	26.8196
0.07	26.297
0.08	25.7775
0.09	25.2616
0.1	24.7495
0.11	24.2418
0.12	23.7387
0.13	23.2406
0.14	22.7478
0.15	22.2608
0.16	21.7798
0.17	21.3051
0.18	20.8372
0.19	20.3762
0.2	19.9226
0.21	19.4765
0.22	19.0384
0.23	18.6084
0.24	18.1869
0.25	17.774
0.26	17.3701
0.27	16.9754
0.28	16.5901
0.29	16.2144
0.3	15.8485
0.31	15.4926
0.32	15.147
0.33	14.8117
0.34	14.4869
0.35	14.1729
0.36	13.8697
0.37	13.5774
0.38	13.2961
0.39	13.0261
0.4	12.7672
0.41	12.5197
0.42	12.2837
0.43	12.059
0.44	11.8459
0.45	11.6443
0.46	11.4542
0.47	11.2757
0.48	11.1088
0.49	10.9534
0.5	10.8095
0.51	10.6771
0.52	10.5562
0.53	10.4466
0.54	10.3484
0.55	10.2614
0.56	10.1855
0.57	10.1207
0.58	10.0668
0.59	10.0238
0.6	9.99143
0.61	9.96963
0.62	9.95822
0.63	9.95707
0.64	9.966
0.65	9.98484
0.66	10.0134
0.67	10.0515
0.68	10.0989
0.69	10.1555
0.7	10.2209
0.71	10.295
0.72	10.3776
0.73	10.4684
0.74	10.5672
0.75	10.6737
0.76	10.7876
0.77	10.9087
0.78	11.0368
0.79	11.1715
0.8	11.3126
0.81	11.4597
0.82	11.6127
0.83	11.7711
0.84	11.9347
0.85	12.1032
0.86	12.2763
0.87	12.4536
0.88	12.6349
0.89	12.8198
0.9	13.008
0.91	13.1992
0.92	13.3931
0.93	13.5893
0.94	13.7875
0.95	13.9873
0.96	14.1885
0.97	14.3907
0.98	14.5936
0.99	14.7968
1	15
