# x	jacobi_kp1
0	30
0.01	29.4041
0.02	28.8092
0.03	28.2143
0.04	27.6223
0.05	27.0304
0.06	26.4434
0.07	25.8563
0.08	25.2761
0.09	24.696
0.1	24.1245
0.11	23.553
0.12	22.9921
0.13	22.4312
0.14	21.8827
0.15	21.3341
0.16	20.7996
0.17	20.265
0.18	19.7462
0.19	19.2273
0.2	18.7256
0.21	18.2238
0.22	17.7407
0.23	17.2576
0.24	16.7945
0.25	16.3313
0.26	15.8893
0.27	15.4473
0.28	15.0276
0.29	14.6079
0.3	14.2115
0.31	13.815
0.32	13.4428
0.33	13.0705
0.34	12.7231
0.35	12.3758
0.36	12.054
0.37	11.7322
0.38	11.4365
0.39	11.1408
0.4	10.8717
0.41	10.6025
0.42	10.3601
0.43	10.1177
0.44	9.90229
0.45	9.68688
0.46	9.49851
0.47	9.31014
0.48	9.14878
0.49	8.98742
0.5	8.85292
0.51	8.71842
0.52	8.61053
0.53	8.50265
0.54	8.42105
0.55	8.33944
0.56	8.28367
0.57	8.22791
0.58	8.19746
0.59	8.16702
0.6	8.16129
0.61	8.15555
0.62	8.17384
0.63	8.19213
0.64	8.23367
0.65	8.27522
0.66	8.33919
0.67	8.40315
0.68	8.48863
0.69	8.57411
0.7	8.68013
0.71	8.78614
0.72	8.91167
0.73	9.0372
0.74	9.18114
0.75	9.32508
0.76	9.4863
0.77	9.64752
0.78	9.82481
0.79	10.0021
0.8	10.1942
0.81	10.3864
0.82	10.5921
0.83	10.7978
0.84	11.0157
0.85	11.2336
0.86	11.4624
0.87	11.6912
0.88	11.9295
0.89	12.1678
0.9	12.4142
0.91	12.6606
0.92	12.9136
0.93	13.1666
0.94	13.4248
0.95	13.683
0.96	13.9449
0.97	14.2068
0.98	14.471
0.99	14.7351
1	15
