# x	gauss_k
0	30
0.01	29.6194
0.02	29.2392
0.03	28.8597
0.04	28.4811
0.05	28.1037
0.06	27.7276
0.07	27.3531
0.08	26.9805
0.09	26.6099
0.1	26.2415
0.11	25.8757
0.12	25.5125
0.13	25.1522
0.14	24.795
0.15	24.4411
0.16	24.0907
0.17	23.744
0.18	23.4012
0.19	23.0624
0.2	22.728
0.21	22.3979
0.22	22.0725
0.23	21.7519
0.24	21.4362
0.25	21.1256
0.26	20.8202
0.27	20.5203
0.28	20.2259
0.29	19.9372
0.3	19.6543
0.31	19.3774
0.32	19.1065
0.33	18.8418
0.34	18.5833
0.35	18.3312
0.36	18.0856
0.37	17.8465
0.38	17.6141
0.39	17.3884
0.4	17.1694
0.41	16.9573
0.42	16.752
0.43	16.5537
0.44	16.3624
0.45	16.178
0.46	16.0007
0.47	15.8304
0.48	15.6671
0.49	15.5109
0.5	15.3618
0.51	15.2196
0.52	15.0846
0.53	14.9565
0.54	14.8353
0.55	14.7211
0.56	14.6138
0.57	14.5134
0.58	14.4197
0.59	14.3327
0.6	14.2523
0.61	14.1785
0.62	14.1112
0.63	14.0503
0.64	13.9957
0.65	13.9473
0.66	13.9049
0.67	13.8686
0.68	13.8381
0.69	13.8133
0.7	13.7941
0.71	13.7804
0.72	13.772
0.73	13.7687
0.74	13.7705
0.75	13.7772
0.76	13.7886
0.77	13.8045
0.78	13.8249
0.79	13.8494
0.8	13.878
0.81	13.9104
0.82	13.9465
0.83	13.9861
0.84	14.029
0.85	14.075
0.86	14.1239
0.87	14.1755
0.88	14.2296
0.89	14.286
0.9	14.3446
0.91	14.405
0.92	14.4672
0.93	14.5308
0.94	14.5957
0.95	14.6617
0.96	14.7285
0.97	14.7959
0.98	14.8638
0.99	14.9319
1	15
