# x	jacobi_kp1
0	30
0.01	28.3095
0.02	26.6358
0.03	24.9621
0.04	23.3376
0.05	21.7131
0.06	20.1675
0.07	18.6219
0.08	17.1803
0.09	15.7387
0.1	14.4206
0.11	13.1026
0.12	11.9213
0.13	10.7401
0.14	9.70235
0.15	8.66461
0.16	7.77101
0.17	6.8774
0.18	6.12316
0.19	5.36892
0.2	4.74496
0.21	4.121
0.22	3.61509
0.23	3.10917
0.24	2.70715
0.25	2.30513
0.26	1.99205
0.27	1.67897
0.28	1.44005
0.29	1.20112
0.3	1.02245
0.31	0.843775
0.32	0.712855
0.33	0.581934
0.34	0.487949
0.35	0.393964
0.36	0.327873
0.37	0.261781
0.38	0.216272
0.39	0.170763
0.4	0.140104
0.41	0.109446
0.42	0.0892877
0.43	0.0691291
0.44	0.0562746
0.45	0.0434202
0.46	0.0356175
0.47	0.0278149
0.48	0.0235684
0.49	0.0193219
0.5	0.0177458
0.51	0.0161697
0.52	0.0168856
0.53	0.0176016
0.54	0.020683
0.55	0.0237643
0.56	0.0297239
0.57	0.0356835
0.58	0.0455018
0.59	0.0553201
0.6	0.0705066
0.61	0.0856931
0.62	0.108372
0.63	0.13105
0.64	0.164056
0.65	0.197062
0.66	0.244034
0.67	0.291006
0.68	0.356456
0.69	0.421906
0.7	0.511238
0.71	0.60057
0.72	0.720031
0.73	0.839491
0.74	0.996029
0.75	1.15257
0.76	1.35358
0.77	1.55459
0.78	1.80754
0.79	2.0605
0.8	2.37248
0.81	2.68446
0.82	3.06158
0.83	3.4387
0.84	3.8855
0.85	4.33231
0.86	4.85118
0.87	5.37005
0.88	5.96067
0.89	6.5513
0.9	7.21032
0.91	7.86934
0.92	8.59013
0.93	9.31093
0.94	10.0837
0.95	10.8566
0.96	11.6688
0.97	12.4811
0.98	13.3179
0.99	14.1548
1	15
