# x	jacobi_kp1
0	30
0.01	28.9301
0.02	27.8645
0.03	26.7989
0.04	25.7459
0.05	24.693
0.06	23.6609
0.07	22.6288
0.08	21.6252
0.09	20.6216
0.1	19.6534
0.11	18.6853
0.12	17.7588
0.13	16.8323
0.14	15.9528
0.15	15.0733
0.16	14.2451
0.17	13.4169
0.18	12.6432
0.19	11.8696
0.2	11.1528
0.21	10.4359
0.22	9.77718
0.23	9.11843
0.24	8.51806
0.25	7.91768
0.26	7.37511
0.27	6.83253
0.28	6.34643
0.29	5.86034
0.3	5.42874
0.31	4.99715
0.32	4.61758
0.33	4.23801
0.34	3.90761
0.35	3.57721
0.36	3.29289
0.37	3.00857
0.38	2.76714
0.39	2.5257
0.4	2.32396
0.41	2.12221
0.42	1.95709
0.43	1.79198
0.44	1.66064
0.45	1.52929
0.46	1.42916
0.47	1.32904
0.48	1.25791
0.49	1.18678
0.5	1.14283
0.51	1.09888
0.52	1.0807
0.53	1.06252
0.54	1.06913
0.55	1.07573
0.56	1.10654
0.57	1.13735
0.58	1.19217
0.59	1.24699
0.6	1.32597
0.61	1.40494
0.62	1.50852
0.63	1.6121
0.64	1.74094
0.65	1.86979
0.66	2.02474
0.67	2.17968
0.68	2.36163
0.69	2.54358
0.7	2.75344
0.71	2.9633
0.72	3.20188
0.73	3.44047
0.74	3.70843
0.75	3.97638
0.76	4.27411
0.77	4.57184
0.78	4.89941
0.79	5.22697
0.8	5.58407
0.81	5.94117
0.82	6.32704
0.83	6.71292
0.84	7.12635
0.85	7.53978
0.86	7.97905
0.87	8.41831
0.88	8.88121
0.89	9.3441
0.9	9.82794
0.91	10.3118
0.92	10.8134
0.93	11.315
0.94	11.831
0.95	12.3469
0.96	12.8733
0.97	13.3996
0.98	13.9324
0.99	14.4651
1	15
