# x	jacobi_kp1
0	30
0.01	28.8039
0.02	27.6138
0.03	26.4237
0.04	25.2512
0.05	24.0788
0.06	22.9352
0.07	21.7917
0.08	20.6873
0.09	19.583
0.1	18.5272
0.11	17.4714
0.12	16.4719
0.13	15.4725
0.14	14.5358
0.15	13.5992
0.16	12.7301
0.17	11.8611
0.18	11.0627
0.19	10.2644
0.2	9.53838
0.21	8.81236
0.22	8.15871
0.23	7.50506
0.24	6.9225
0.25	6.33993
0.26	5.82599
0.27	5.31205
0.28	4.86331
0.29	4.41456
0.3	4.02686
0.31	3.63915
0.32	3.30781
0.33	2.97646
0.34	2.69652
0.35	2.41657
0.36	2.18297
0.37	1.94936
0.38	1.75715
0.39	1.56493
0.4	1.40939
0.41	1.25386
0.42	1.13068
0.43	1.0075
0.44	0.912853
0.45	0.818201
0.46	0.748797
0.47	0.679393
0.48	0.632572
0.49	0.585751
0.5	0.559483
0.51	0.533216
0.52	0.526117
0.53	0.519018
0.54	0.530333
0.55	0.541649
0.56	0.57123
0.57	0.600811
0.58	0.649071
0.59	0.697332
0.6	0.765191
0.61	0.83305
0.62	0.921866
0.63	1.01068
0.64	1.12217
0.65	1.23366
0.66	1.3698
0.67	1.50595
0.68	1.66889
0.69	1.83182
0.7	2.02375
0.71	2.21567
0.72	2.43869
0.73	2.66171
0.74	2.91775
0.75	3.17378
0.76	3.46443
0.77	3.75507
0.78	4.08146
0.79	4.40785
0.8	4.77057
0.81	5.13329
0.82	5.53226
0.83	5.93123
0.84	6.36564
0.85	6.80004
0.86	7.26828
0.87	7.73652
0.88	8.23619
0.89	8.73585
0.9	9.26373
0.91	9.79161
0.92	10.3438
0.93	10.8959
0.94	11.4677
0.95	12.0394
0.96	12.6256
0.97	13.2119
0.98	13.8069
0.99	14.402
1	15
