# x	gauss_k
0	30
0.01	29.5681
0.02	29.1367
0.03	28.7062
0.04	28.2768
0.05	27.8489
0.06	27.4226
0.07	26.9983
0.08	26.5763
0.09	26.1567
0.1	25.74
0.11	25.3263
0.12	24.9159
0.13	24.509
0.14	24.106
0.15	23.7071
0.16	23.3125
0.17	22.9224
0.18	22.5372
0.19	22.1569
0.2	21.7819
0.21	21.4124
0.22	21.0485
0.23	20.6905
0.24	20.3386
0.25	19.993
0.26	19.6538
0.27	19.3213
0.28	18.9956
0.29	18.6768
0.3	18.3652
0.31	18.0609
0.32	17.764
0.33	17.4747
0.34	17.193
0.35	16.9192
0.36	16.6533
0.37	16.3954
0.38	16.1456
0.39	15.904
0.4	15.6707
0.41	15.4457
0.42	15.2292
0.43	15.0211
0.44	14.8215
0.45	14.6304
0.46	14.448
0.47	14.2741
0.48	14.1088
0.49	13.952
0.5	13.8039
0.51	13.6644
0.52	13.5334
0.53	13.4109
0.54	13.2968
0.55	13.1912
0.56	13.094
0.57	13.0051
0.58	12.9244
0.59	12.8518
0.6	12.7873
0.61	12.7308
0.62	12.6821
0.63	12.6412
0.64	12.6079
0.65	12.5821
0.66	12.5637
0.67	12.5525
0.68	12.5484
0.69	12.5512
0.7	12.5608
0.71	12.577
0.72	12.5997
0.73	12.6286
0.74	12.6636
0.75	12.7044
0.76	12.751
0.77	12.803
0.78	12.8604
0.79	12.9228
0.8	12.9901
0.81	13.0621
0.82	13.1384
0.83	13.219
0.84	13.3036
0.85	13.3919
0.86	13.4837
0.87	13.5788
0.88	13.6769
0.89	13.7778
0.9	13.8813
0.91	13.987
0.92	14.0948
0.93	14.2043
0.94	14.3154
0.95	14.4278
0.96	14.5412
0.97	14.6554
0.98	14.7701
0.99	14.8851
1	15
