# x	gauss_k
0	30
0.01	29.3746
0.02	28.7503
0.03	28.1276
0.04	27.5069
0.05	26.8889
0.06	26.2741
0.07	25.6629
0.08	25.0558
0.09	24.4534
0.1	23.8561
0.11	23.2644
0.12	22.6788
0.13	22.0998
0.14	21.5277
0.15	20.963
0.16	20.4062
0.17	19.8576
0.18	19.3177
0.19	18.7869
0.2	18.2655
0.21	17.7538
0.22	17.2523
0.23	16.7613
0.24	16.281
0.25	15.8119
0.26	15.3541
0.27	14.908
0.28	14.4738
0.29	14.0518
0.3	13.6421
0.31	13.2451
0.32	12.8608
0.33	12.4896
0.34	12.1315
0.35	11.7867
0.36	11.4553
0.37	11.1376
0.38	10.8335
0.39	10.5432
0.4	10.2668
0.41	10.0042
0.42	9.75569
0.43	9.52116
0.44	9.30067
0.45	9.09422
0.46	8.90183
0.47	8.72346
0.48	8.5591
0.49	8.4087
0.5	8.27221
0.51	8.14957
0.52	8.04069
0.53	7.94548
0.54	7.86385
0.55	7.79568
0.56	7.74085
0.57	7.69922
0.58	7.67065
0.59	7.65498
0.6	7.65204
0.61	7.66167
0.62	7.68366
0.63	7.71783
0.64	7.76397
0.65	7.82185
0.66	7.89127
0.67	7.97198
0.68	8.06374
0.69	8.1663
0.7	8.27939
0.71	8.40276
0.72	8.53612
0.73	8.67919
0.74	8.83168
0.75	8.99329
0.76	9.16371
0.77	9.34263
0.78	9.52973
0.79	9.72468
0.8	9.92716
0.81	10.1368
0.82	10.3533
0.83	10.5763
0.84	10.8054
0.85	11.0403
0.86	11.2806
0.87	11.5259
0.88	11.7759
0.89	12.0302
0.9	12.2883
0.91	12.5501
0.92	12.8149
0.93	13.0825
0.94	13.3525
0.95	13.6245
0.96	13.898
0.97	14.1727
0.98	14.4482
0.99	14.7241
1	15
