# x	jacobi_kp1
0	30
0.01	29.471
0.02	28.9427
0.03	28.4145
0.04	27.8886
0.05	27.3628
0.06	26.8409
0.07	26.3191
0.08	25.8028
0.09	25.2865
0.1	24.7774
0.11	24.2682
0.12	23.7676
0.13	23.2671
0.14	22.7766
0.15	22.2861
0.16	21.8071
0.17	21.3281
0.18	20.8619
0.19	20.3958
0.2	19.9437
0.21	19.4917
0.22	19.055
0.23	18.6183
0.24	18.1981
0.25	17.7779
0.26	17.3753
0.27	16.9727
0.28	16.5886
0.29	16.2045
0.3	15.8398
0.31	15.4752
0.32	15.1308
0.33	14.7864
0.34	14.4629
0.35	14.1395
0.36	13.8376
0.37	13.5358
0.38	13.256
0.39	12.9763
0.4	12.7191
0.41	12.4618
0.42	12.2275
0.43	11.9932
0.44	11.7819
0.45	11.5707
0.46	11.3827
0.47	11.1947
0.48	11.03
0.49	10.8653
0.5	10.7239
0.51	10.5825
0.52	10.4642
0.53	10.3459
0.54	10.2505
0.55	10.155
0.56	10.0822
0.57	10.0094
0.58	9.95875
0.59	9.90812
0.6	9.8792
0.61	9.85028
0.62	9.84253
0.63	9.83478
0.64	9.84757
0.65	9.86035
0.66	9.89298
0.67	9.92561
0.68	9.97731
0.69	10.029
0.7	10.099
0.71	10.1689
0.72	10.2562
0.73	10.3435
0.74	10.4472
0.75	10.5509
0.76	10.6701
0.77	10.7892
0.78	10.9227
0.79	11.0561
0.8	11.2029
0.81	11.3496
0.82	11.5085
0.83	11.6673
0.84	11.8372
0.85	12.007
0.86	12.1865
0.87	12.3661
0.88	12.5542
0.89	12.7422
0.9	12.9375
0.91	13.1328
0.92	13.3341
0.93	13.5353
0.94	13.7412
0.95	13.9471
0.96	14.1564
0.97	14.3656
0.98	14.5769
0.99	14.7881
1	15
